latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.063,79.5918,336.47,0.45,0.47,2020-04-02,814,N,VIIRS,n,2,301.24,3.29,D,0
30.36709,79.37767,334.05,0.46,0.47,2020-04-02,814,N,VIIRS,n,2,290.59,5.32,D,0
29.02443,79.67126,337.32,0.41,0.37,2020-04-03,755,N,VIIRS,n,2,307.06,1.85,D,0
29.10081,79.44282,335.6,0.41,0.37,2020-04-03,755,N,VIIRS,l,2,306.73,3.58,D,0
29.30086,79.17859,343.58,0.4,0.37,2020-04-03,755,N,VIIRS,n,2,306.57,7.0,D,0
29.3737,78.97601,336.59,0.4,0.37,2020-04-03,755,N,VIIRS,n,2,309.43,4.09,D,0
29.4507,79.22839,331.18,0.4,0.37,2020-04-03,755,N,VIIRS,n,2,302.8,2.3,D,0
29.15142,78.88503,334.84,0.45,0.39,2020-04-04,736,N,VIIRS,n,2,307.76,2.66,D,0
29.91805,79.08994,334.04,0.43,0.38,2020-04-04,736,N,VIIRS,n,2,299.74,6.24,D,0
29.91902,79.09105,333.84,0.43,0.38,2020-04-04,736,N,VIIRS,n,2,300.12,5.68,D,0
30.03397,79.72963,336.38,0.41,0.37,2020-04-04,736,N,VIIRS,n,2,300.15,1.88,D,0
29.3669,79.79515,333.64,0.44,0.62,2020-04-06,658,N,VIIRS,n,2,293.97,3.98,D,0
30.12835,79.44332,331.15,0.44,0.62,2020-04-06,659,N,VIIRS,n,2,295.6,3.05,D,0
30.15345,79.71166,367.0,0.42,0.61,2020-04-06,659,N,VIIRS,h,2,298.22,6.3,D,0
30.15579,79.72102,326.77,0.42,0.61,2020-04-06,659,N,VIIRS,n,2,294.68,6.3,D,0
30.31619,78.72034,328.2,0.48,0.65,2020-04-06,659,N,VIIRS,n,2,297.5,4.78,D,0
29.63902,79.6127,331.65,0.56,0.68,2020-04-06,839,N,VIIRS,n,2,299.76,1.76,D,0
29.15525,79.28992,337.58,0.45,0.39,2020-04-08,801,N,VIIRS,n,2,306.19,4.74,D,0
29.15824,79.28465,335.11,0.45,0.39,2020-04-08,801,N,VIIRS,l,2,305.2,4.74,D,0
29.2719,79.00426,334.65,0.44,0.39,2020-04-08,801,N,VIIRS,l,2,305.54,6.37,D,0
30.10709,79.67519,342.01,0.48,0.4,2020-04-08,801,N,VIIRS,n,2,296.6,8.77,D,0
29.11666,79.3982,338.45,0.39,0.36,2020-04-09,742,N,VIIRS,n,2,299.5,3.94,D,0
30.13364,79.45941,302.45,0.54,0.42,2020-04-09,2007,N,VIIRS,n,2,282.01,1.36,N,0
30.13367,79.45854,303.55,0.54,0.42,2020-04-09,2007,N,VIIRS,n,2,282.27,1.47,N,0
29.36051,79.81181,336.55,0.57,0.43,2020-04-10,723,N,VIIRS,n,2,293.64,6.92,D,0
29.36286,79.813,330.11,0.57,0.43,2020-04-10,723,N,VIIRS,n,2,294.83,5.41,D,0
29.70218,79.3321,328.44,0.4,0.44,2020-04-10,724,N,VIIRS,n,2,297.42,2.64,D,0
29.13446,79.49731,330.55,0.37,0.58,2020-04-11,705,N,VIIRS,l,2,303.3,2.27,D,0
29.616,79.17714,332.84,0.65,0.73,2020-04-11,845,N,VIIRS,n,2,297.14,17.89,D,0
29.6163,79.18363,367.0,0.65,0.73,2020-04-11,845,N,VIIRS,h,2,301.27,17.89,D,0
29.9925,79.62267,300.48,0.38,0.59,2020-04-11,2109,N,VIIRS,n,2,286.1,0.71,N,0
30.57523,79.54113,338.96,0.64,0.72,2020-04-12,646,N,VIIRS,n,2,298.09,9.54,D,0
29.41743,78.63982,336.63,0.5,0.41,2020-04-13,807,N,VIIRS,n,2,303.09,25.1,D,0
29.41806,78.64503,345.42,0.5,0.41,2020-04-13,807,N,VIIRS,n,2,312.61,25.1,D,0
29.42183,78.64445,348.42,0.5,0.41,2020-04-13,807,N,VIIRS,n,2,302.04,25.1,D,0
29.01134,79.61077,337.84,0.39,0.36,2020-04-14,748,N,VIIRS,n,2,300.38,3.42,D,0
29.11742,78.63554,336.97,0.39,0.36,2020-04-14,748,N,VIIRS,n,2,309.24,3.22,D,0
29.87164,78.7136,336.57,0.38,0.36,2020-04-14,749,N,VIIRS,n,2,303.11,3.59,D,0
