latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.57618,79.35428,335.68,0.54,0.68,2024-04-01,840,N,VIIRS,n,2,294.81,2.68,D,0
29.57858,79.35174,327.62,0.54,0.68,2024-04-01,840,N,VIIRS,n,2,296.31,4.07,D,0
29.71142,79.29804,335.84,0.54,0.68,2024-04-01,840,N,VIIRS,n,2,291.65,4.72,D,0
29.06977,79.96082,295.96,0.35,0.56,2024-04-01,2104,N,VIIRS,n,2,283.83,0.74,N,0
29.10752,79.82458,301.99,0.34,0.56,2024-04-01,2104,N,VIIRS,n,2,288.11,0.58,N,0
29.28205,79.99716,326.98,0.78,0.78,2024-04-02,641,N,VIIRS,n,2,294.55,10.2,D,0
29.10524,79.82355,330.51,0.59,0.53,2024-04-02,821,N,VIIRS,l,2,304.67,5.46,D,0
29.13775,79.85579,354.21,0.6,0.53,2024-04-02,821,N,VIIRS,n,2,305.29,15.93,D,0
29.1626,79.01166,331.21,0.53,0.5,2024-04-02,821,N,VIIRS,n,2,298.6,3.9,D,0
29.28206,79.76279,344.45,0.59,0.53,2024-04-02,821,N,VIIRS,n,2,303.5,9.26,D,0
29.2846,79.76266,343.2,0.59,0.53,2024-04-02,821,N,VIIRS,n,2,302.25,13.02,D,0
29.39187,79.94244,330.51,0.61,0.53,2024-04-02,821,N,VIIRS,n,2,301.79,5.62,D,0
29.91556,78.8121,332.26,0.53,0.5,2024-04-02,821,N,VIIRS,l,2,306.08,5.29,D,0
29.9197,78.80616,344.65,0.53,0.5,2024-04-02,821,N,VIIRS,n,2,305.0,7.74,D,0
29.92013,78.81078,330.94,0.53,0.5,2024-04-02,821,N,VIIRS,l,2,305.13,5.29,D,0
29.13575,79.84136,295.18,0.55,0.43,2024-04-02,2046,N,VIIRS,n,2,275.28,0.59,N,0
29.14232,79.84921,296.15,0.55,0.43,2024-04-02,2046,N,VIIRS,n,2,276.99,0.53,N,0
29.29446,79.75328,295.12,0.54,0.42,2024-04-02,2046,N,VIIRS,n,2,264.22,0.83,N,0
29.27452,79.76723,330.12,0.48,0.4,2024-04-03,802,N,VIIRS,n,2,288.54,5.03,D,0
29.36049,79.84314,334.81,0.49,0.4,2024-04-03,802,N,VIIRS,n,2,284.18,7.1,D,0
29.37205,79.87678,331.27,0.49,0.4,2024-04-03,802,N,VIIRS,n,2,288.99,9.47,D,0
29.37267,79.88203,335.15,0.49,0.4,2024-04-03,802,N,VIIRS,n,2,289.55,9.47,D,0
29.54242,79.67893,332.95,0.48,0.4,2024-04-03,802,N,VIIRS,n,2,285.53,4.36,D,0
29.55131,79.55025,332.7,0.48,0.4,2024-04-03,802,N,VIIRS,n,2,290.3,5.95,D,0
29.55187,79.55488,347.02,0.48,0.4,2024-04-03,802,N,VIIRS,n,2,295.7,5.95,D,0
29.75438,79.57864,330.96,0.48,0.4,2024-04-03,802,N,VIIRS,n,2,276.13,4.02,D,0
29.76187,79.54731,335.54,0.48,0.4,2024-04-03,802,N,VIIRS,n,2,285.84,4.02,D,0
29.07175,79.84465,339.14,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,282.33,3.94,D,0
29.28614,79.06606,344.6,0.4,0.37,2024-04-04,743,N,VIIRS,n,2,312.52,3.91,D,0
29.37951,79.25963,331.22,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,305.13,2.41,D,0
29.49915,78.61572,345.92,0.4,0.37,2024-04-04,743,N,VIIRS,n,2,307.87,8.82,D,0
29.4993,79.50108,348.66,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,305.47,6.64,D,0
29.49995,78.61625,344.73,0.4,0.37,2024-04-04,743,N,VIIRS,n,2,305.72,9.52,D,0
29.50863,79.49519,333.93,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,307.27,1.87,D,0
29.52167,79.88175,343.85,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,302.25,5.33,D,0
29.52822,79.94559,334.02,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,298.3,3.76,D,0
29.55764,79.27379,333.46,0.39,0.36,2024-04-04,743,N,VIIRS,l,2,306.95,3.04,D,0
29.56209,79.32291,344.14,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,311.8,5.65,D,0
29.56787,79.35906,342.89,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,308.72,3.8,D,0
29.56852,79.36311,339.47,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,308.69,3.54,D,0
29.56878,79.32188,346.59,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,307.17,3.49,D,0
29.57657,79.34911,335.81,0.39,0.36,2024-04-04,743,N,VIIRS,l,2,309.27,1.84,D,0
29.58193,79.33975,338.02,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,307.59,3.35,D,0
29.58526,79.33912,356.79,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,313.25,12.97,D,0
29.5878,79.37661,347.71,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,308.13,11.73,D,0
29.59239,79.92043,330.88,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,300.85,3.28,D,0
29.5927,79.32132,333.37,0.39,0.36,2024-04-04,743,N,VIIRS,l,2,308.14,4.77,D,0
29.59334,79.32536,352.88,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,311.83,6.26,D,0
29.59398,79.32939,335.05,0.39,0.36,2024-04-04,743,N,VIIRS,l,2,306.92,6.26,D,0
29.59603,79.32076,342.27,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,303.84,4.24,D,0
29.59668,79.3248,348.82,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,310.09,17.52,D,0
29.59732,79.32883,334.35,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,305.25,17.52,D,0
29.60165,79.91876,330.71,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,299.25,1.3,D,0
29.61061,79.99386,347.71,0.38,0.36,2024-04-04,743,N,VIIRS,n,2,306.33,3.99,D,0
29.61258,79.98939,332.54,0.38,0.36,2024-04-04,743,N,VIIRS,l,2,306.9,3.38,D,0
29.61761,79.09901,337.76,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,308.18,3.04,D,0
29.64584,79.96231,334.89,0.39,0.36,2024-04-04,743,N,VIIRS,l,2,306.87,4.32,D,0
29.65989,79.21163,333.77,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,302.04,1.27,D,0
29.66314,79.36039,334.88,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,303.65,3.96,D,0
29.671,79.23802,347.85,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,311.02,7.88,D,0
29.67208,79.61008,335.76,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,304.69,3.66,D,0
29.67561,79.0954,340.47,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,308.85,3.59,D,0
29.68357,79.57478,345.82,0.39,0.36,2024-04-04,743,N,VIIRS,n,2,303.49,4.32,D,0
29.70427,79.92186,335.89,0.39,0.36,2024-04-04,743,N,VIIRS,l,2,309.23,2.99,D,0
29.73003,79.45794,331.32,0.39,0.36,2024-04-04,743,N,VIIRS,l,2,306.31,1.33,D,0
29.74039,78.89,331.18,0.4,0.37,2024-04-04,743,N,VIIRS,l,2,305.18,1.77,D,0
