time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,windspeed_10m_max,district
2020-04-01,21.0,10.0,0.0,64,11.2,Pauri_Garhwal
2020-04-02,19.3,9.7,1.2,53,10.9,Pauri_Garhwal
2020-04-03,20.1,9.0,0.0,54,7.6,Pauri_Garhwal
2020-04-04,21.8,10.2,0.1,52,9.8,Pauri_Garhwal
2020-04-05,21.4,12.7,0.0,47,8.7,Pauri_Garhwal
2020-04-06,22.0,11.9,0.0,52,11.2,Pauri_Garhwal
2020-04-07,22.2,11.5,0.1,47,11.1,Pauri_Garhwal
2020-04-08,19.9,11.4,5.4,50,9.1,Pauri_Garhwal
2020-04-09,23.0,11.4,0.0,49,9.2,Pauri_Garhwal
2020-04-10,22.7,13.4,0.8,51,8.7,Pauri_Garhwal
2020-04-11,23.8,14.6,0.0,45,9.0,Pauri_Garhwal
2020-04-12,25.8,14.6,0.0,52,7.7,Pauri_Garhwal
2020-04-13,26.4,16.5,0.0,57,9.4,Pauri_Garhwal
2020-04-14,24.2,15.5,0.0,60,9.8,Pauri_Garhwal
2020-04-15,25.0,15.3,0.0,58,12.0,Pauri_Garhwal
2020-04-16,24.9,16.2,0.0,49,10.9,Pauri_Garhwal
2020-04-17,21.3,13.9,1.0,56,9.6,Pauri_Garhwal
2020-04-18,22.1,12.4,1.4,63,8.0,Pauri_Garhwal
2020-04-19,21.2,12.2,8.2,58,10.6,Pauri_Garhwal
2020-04-20,21.4,12.2,9.4,61,12.0,Pauri_Garhwal
2020-04-21,19.2,10.8,3.1,74,9.8,Pauri_Garhwal
2020-04-22,20.1,11.9,0.2,62,8.4,Pauri_Garhwal
2020-04-23,21.6,12.4,1.6,67,10.1,Pauri_Garhwal
2020-04-24,22.2,14.3,0.3,64,9.8,Pauri_Garhwal
2020-04-25,23.1,13.1,2.0,67,10.9,Pauri_Garhwal
2020-04-26,19.8,12.4,1.3,75,5.6,Pauri_Garhwal
2020-04-27,19.7,11.8,6.8,81,7.4,Pauri_Garhwal
2020-04-28,20.6,11.5,1.7,77,7.7,Pauri_Garhwal
2020-04-29,19.9,13.1,3.7,81,9.1,Pauri_Garhwal
2020-04-30,21.3,13.3,8.4,83,7.1,Pauri_Garhwal
2020-05-01,23.0,15.5,4.4,73,9.1,Pauri_Garhwal
2020-05-02,22.1,13.7,8.3,88,5.9,Pauri_Garhwal
2020-05-03,21.4,14.1,6.8,78,6.8,Pauri_Garhwal
2020-05-04,22.7,14.0,4.8,79,6.6,Pauri_Garhwal
2020-05-05,22.2,13.2,4.5,73,7.9,Pauri_Garhwal
2020-05-06,20.8,12.3,4.2,73,8.2,Pauri_Garhwal
2020-05-07,21.1,11.2,0.7,66,10.9,Pauri_Garhwal
2020-05-08,23.5,13.0,0.0,64,9.1,Pauri_Garhwal
2020-05-09,23.6,14.9,0.1,65,13.4,Pauri_Garhwal
2020-05-10,22.1,15.2,6.9,73,8.6,Pauri_Garhwal
2020-05-11,23.0,15.4,0.7,65,7.7,Pauri_Garhwal
2020-05-12,23.3,12.8,2.0,73,10.6,Pauri_Garhwal
2020-05-13,23.6,15.2,0.0,71,7.2,Pauri_Garhwal
2020-05-14,24.9,15.4,2.4,69,10.5,Pauri_Garhwal
2020-05-15,26.8,16.8,0.0,55,10.4,Pauri_Garhwal
2020-05-16,27.1,16.7,0.0,52,10.1,Pauri_Garhwal
2020-05-17,27.8,17.0,0.0,50,10.9,Pauri_Garhwal
2020-05-18,26.3,17.8,0.0,40,12.2,Pauri_Garhwal
2020-05-19,26.5,17.0,0.0,34,9.5,Pauri_Garhwal
2020-05-20,27.7,16.9,0.0,36,7.9,Pauri_Garhwal
2020-05-21,28.6,17.1,0.0,45,10.8,Pauri_Garhwal
2020-05-22,28.9,17.8,0.0,48,11.0,Pauri_Garhwal
2020-05-23,28.8,19.6,0.0,50,12.5,Pauri_Garhwal
2020-05-24,29.2,20.2,0.0,39,9.1,Pauri_Garhwal
2020-05-25,29.9,19.8,0.0,40,9.4,Pauri_Garhwal
2020-05-26,30.4,21.1,0.0,37,10.2,Pauri_Garhwal
2020-05-27,30.3,20.8,0.0,37,8.1,Pauri_Garhwal
2020-05-28,26.6,18.3,2.0,57,9.7,Pauri_Garhwal
2020-05-29,22.6,16.2,8.4,76,9.2,Pauri_Garhwal
2020-05-30,22.4,14.8,36.7,82,10.5,Pauri_Garhwal
2020-05-31,21.2,14.8,16.6,83,7.2,Pauri_Garhwal
2020-06-01,22.1,14.9,11.3,84,8.1,Pauri_Garhwal
2020-06-02,23.9,14.7,0.6,67,8.3,Pauri_Garhwal
2020-06-03,23.6,15.0,10.5,72,5.7,Pauri_Garhwal
2020-06-04,22.8,14.5,6.8,76,4.3,Pauri_Garhwal
2020-06-05,22.4,15.1,10.5,77,5.7,Pauri_Garhwal
2020-06-06,23.2,15.9,2.2,77,8.8,Pauri_Garhwal
2020-06-07,24.3,15.2,0.2,74,9.7,Pauri_Garhwal
2020-06-08,25.5,16.4,1.1,76,7.7,Pauri_Garhwal
2020-06-09,25.9,17.6,1.5,76,7.7,Pauri_Garhwal
2020-06-10,26.6,17.7,3.9,78,8.9,Pauri_Garhwal
2020-06-11,26.2,17.8,4.8,82,7.4,Pauri_Garhwal
2020-06-12,26.1,18.7,5.7,81,9.1,Pauri_Garhwal
2020-06-13,26.3,18.6,5.9,82,8.9,Pauri_Garhwal
2020-06-14,26.8,18.3,3.1,79,8.6,Pauri_Garhwal
2020-06-15,26.1,18.1,2.0,80,8.0,Pauri_Garhwal
2020-06-16,26.9,18.1,2.0,74,7.9,Pauri_Garhwal
2020-06-17,25.3,18.1,4.4,84,8.2,Pauri_Garhwal
2020-06-18,25.4,19.3,8.2,84,8.9,Pauri_Garhwal
