time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,windspeed_10m_max,district,days_since_rain,temp_7day_avg,humidity_7day_avg
2020-04-01,21.3,9.5,0.2,64,15.0,Almora,0,21.3,64.0
2020-04-02,20.5,8.8,0.1,55,13.3,Almora,0,20.9,59.5
2020-04-03,20.9,7.6,0.0,58,10.6,Almora,1,20.900000000000002,59.0
2020-04-04,22.1,10.6,0.2,56,11.0,Almora,0,21.2,58.25
2020-04-05,21.7,10.0,0.0,47,15.2,Almora,1,21.3,56.0
2020-04-06,23.0,10.8,0.0,48,18.6,Almora,2,21.583333333333332,54.666666666666664
2020-04-07,23.5,12.2,0.0,45,18.8,Almora,3,21.857142857142858,53.285714285714285
2020-04-08,21.7,10.6,1.6,58,12.3,Almora,0,21.91428571428571,52.42857142857143
2020-04-09,23.1,9.6,0.0,52,9.4,Almora,1,22.285714285714285,52.0
2020-04-10,24.4,12.5,0.4,50,13.4,Almora,0,22.785714285714285,50.857142857142854
2020-04-11,23.8,10.1,0.0,55,17.4,Almora,1,23.02857142857143,50.714285714285715
2020-04-12,26.3,13.4,0.0,49,12.2,Almora,2,23.685714285714287,51.0
2020-04-13,27.0,13.1,0.0,55,14.1,Almora,3,24.25714285714286,52.0
2020-04-14,23.8,11.6,0.7,69,6.8,Almora,0,24.3,55.42857142857143
2020-04-15,25.1,11.7,0.4,62,19.2,Almora,0,24.785714285714285,56.0
2020-04-16,24.1,13.8,0.2,57,20.2,Almora,0,24.928571428571427,56.714285714285715
2020-04-17,22.1,14.5,2.3,56,8.0,Almora,0,24.6,57.57142857142857
2020-04-18,22.0,10.9,0.2,60,15.3,Almora,0,24.342857142857145,58.285714285714285
2020-04-19,21.5,12.6,0.9,61,10.8,Almora,0,23.657142857142855,60.0
2020-04-20,22.6,10.6,2.1,69,8.3,Almora,0,23.02857142857143,62.0
2020-04-21,18.8,9.7,4.0,80,14.8,Almora,0,22.314285714285717,63.57142857142857
2020-04-22,19.4,10.1,0.7,73,12.6,Almora,0,21.500000000000004,65.14285714285714
2020-04-23,20.0,12.4,1.8,71,15.9,Almora,0,20.914285714285715,67.14285714285714
2020-04-24,20.6,10.6,0.3,72,15.1,Almora,0,20.7,69.42857142857143
2020-04-25,22.0,12.2,0.2,71,14.6,Almora,0,20.7,71.0
2020-04-26,18.9,11.5,2.6,84,13.4,Almora,0,20.32857142857143,74.28571428571429
2020-04-27,19.2,11.1,7.1,88,12.8,Almora,0,19.842857142857145,77.0
2020-04-28,21.3,10.9,3.2,76,9.3,Almora,0,20.2,76.42857142857143
2020-04-29,19.2,12.0,1.7,84,13.1,Almora,0,20.17142857142857,78.0
2020-04-30,20.6,11.8,4.2,88,12.0,Almora,0,20.25714285714286,80.42857142857143
2020-05-01,22.0,10.6,5.9,85,11.9,Almora,0,20.457142857142856,82.28571428571429
2020-05-02,21.3,13.5,3.4,90,7.8,Almora,0,20.357142857142858,85.0
2020-05-03,21.5,12.4,4.0,87,13.7,Almora,0,20.728571428571428,85.42857142857143
2020-05-04,21.4,12.9,3.5,82,7.0,Almora,0,21.042857142857144,84.57142857142857
2020-05-05,21.9,12.1,5.9,83,12.2,Almora,0,21.12857142857143,85.57142857142857
2020-05-06,19.8,10.1,1.6,83,11.3,Almora,0,21.214285714285715,85.42857142857143
2020-05-07,20.6,10.6,2.2,79,18.5,Almora,0,21.214285714285715,84.14285714285714
2020-05-08,22.6,9.1,0.0,73,13.7,Almora,1,21.3,82.42857142857143
2020-05-09,24.9,12.7,0.0,68,15.6,Almora,2,21.814285714285713,79.28571428571429
2020-05-10,21.2,11.6,1.8,85,10.1,Almora,0,21.771428571428572,79.0
2020-05-11,22.2,10.3,1.0,81,9.4,Almora,0,21.885714285714283,78.85714285714286
2020-05-12,22.1,12.3,2.1,78,15.2,Almora,0,21.914285714285715,78.14285714285714
2020-05-13,23.8,13.3,0.8,77,12.1,Almora,0,22.485714285714288,77.28571428571429
